feature,importance,method,fold
cocontam_clbz,0.0,SHAP_TreeExplainer,0
well_depth_ft__missing,0.0,SHAP_TreeExplainer,0
"gm_well_category=WATER SUPPLY, OTHER",0.0,SHAP_TreeExplainer,0
cocontam_bdcme,0.0,SHAP_TreeExplainer,0
sgma_region_office=SCRO,0.0,SHAP_TreeExplainer,0
cocontam_fc113,0.0,SHAP_TreeExplainer,0
cocontam_tmb124,0.0,SHAP_TreeExplainer,0
sgma_region_office=SRO,0.0,SHAP_TreeExplainer,0
dwr_region=South Lahontan,0.0,SHAP_TreeExplainer,0
dwr_region=Tulare Lake,0.0,SHAP_TreeExplainer,0
dwr_region=South Coast,0.0,SHAP_TreeExplainer,0
dwr_region=San Joaquin River,0.0,SHAP_TreeExplainer,0
dwr_region=Colorado River,0.0,SHAP_TreeExplainer,0
dwr_region=Central Coast,0.0,SHAP_TreeExplainer,0
cocontam_pca,0.0,SHAP_TreeExplainer,0
regional_board=SAN DIEGO,0.0,SHAP_TreeExplainer,0
regional_board=LOS ANGELES,0.0,SHAP_TreeExplainer,0
regional_board=COLORADO RIVER,0.0,SHAP_TreeExplainer,0
regional_board=CENTRAL COAST,0.0,SHAP_TreeExplainer,0
cocontam_tmb124__missing,0.0,SHAP_TreeExplainer,0
cocontam_fe__missing,0.0,SHAP_TreeExplainer,0
cocontam_so4__missing,0.0,SHAP_TreeExplainer,0
cocontam_as__missing,0.0,SHAP_TreeExplainer,0
cocontam_mn__missing,0.0,SHAP_TreeExplainer,0
snowpack_mm,0.0,SHAP_TreeExplainer,0
